text,id,tweet,tweet_token
I hate niggas like they make me sick tew my stomach🤮,1368335577909723138,I hate niggas like they make me sick tew my stomach🤮,"['I', 'hate', 'niggas', 'like', 'they', 'make', 'me', 'sick', 'tew', 'my', 'stomach🤮']"
@Percy0811 @Pharmdca IMO it’s not the masks. More people washing hands. More sick people staying home and very few sick people going to work. I can’t tell you how many times people came into work sick because it was encouraged or they had no PTO and WFH wasn’t an option,1368335576911413249,@Percy0811 @Pharmdca IMO it's not the masks. More people washing hands. More sick people staying home and very few sick people going to work. I can't tell you how many times people came into work sick because it was encouraged or they had no PTO and WFH wasn't an option,"['@USER', '@USER', 'IMO', ""it's"", 'not', 'the', 'masks', '.', 'More', 'people', 'washing', 'hands', '.', 'More', 'sick', 'people', 'staying', 'home', 'and', 'very', 'few', 'sick', 'people', 'going', 'to', 'work', '.', 'I', ""can't"", 'tell', 'you', 'how', 'many', 'times', 'people', 'came', 'into', 'work', 'sick', 'because', 'it', 'was', 'encouraged', 'or', 'they', 'had', 'no', 'PTO', 'and', 'WFH', ""wasn't"", 'an', 'option']"
"Another tweet from a hateful, rage-filled, semi-human who cares nothing for the peop0le of her district, and would just as soon see them go broke, get sick and die!!! https://t.co/4iohqFoWaA",1368335575644659715,"Another tweet from a hateful, rage-filled, semi-human who cares nothing for the peop0le of her district, and would just as soon see them go broke, get sick and die!!! https://t.co/4iohqFoWaA","['Another', 'tweet', 'from', 'a', 'hateful', ',', 'rage-filled', ',', 'semi-human', 'who', 'cares', 'nothing', 'for', 'the', 'peop0le', 'of', 'her', 'district', ',', 'and', 'would', 'just', 'as', 'soon', 'see', 'them', 'go', 'broke', ',', 'get', 'sick', 'and', 'die', '!', '!', '!', 'HTTPURL']"
@newsmax He makes me sick 🤢,1368335572931117056,@newsmax He makes me sick 🤢,"['@USER', 'He', 'makes', 'me', 'sick', '🤢']"
I think it’s time to move on from bowling. So sick of this bullshit.,1368335571605655561,I think it's time to move on from bowling. So sick of this bullshit.,"['I', 'think', ""it's"", 'time', 'to', 'move', 'on', 'from', 'bowling', '.', 'So', 'sick', 'of', 'this', 'bullshit', '.']"
@BiggPapaShel Makes me sick,1368335561061138432,@BiggPapaShel Makes me sick,"['@USER', 'Makes', 'me', 'sick']"
@harmonyjayla Sick as fuck and two are girls I know 🤮,1368335559584747520,@harmonyjayla Sick as fuck and two are girls I know 🤮,"['@USER', 'Sick', 'as', 'fuck', 'and', 'two', 'are', 'girls', 'I', 'know', '🤮']"
@JMBillington I'm just blocking any and all of these KBF/Oakeshot/Grimes type twats on sight. Just reading the replies makes me feel a bit sick.,1368335551670194179,@JMBillington I'm just blocking any and all of these KBF/Oakeshot/Grimes type twats on sight. Just reading the replies makes me feel a bit sick.,"['@USER', ""I'm"", 'just', 'blocking', 'any', 'and', 'all', 'of', 'these', 'KBF/Oakeshot/Grimes', 'type', 'twats', 'on', 'sight', '.', 'Just', 'reading', 'the', 'replies', 'makes', 'me', 'feel', 'a', 'bit', 'sick', '.']"
"@Daily_Express Charity begins at home with those two. I will not enrich them any further by watching, nor will I enable them like Oprah &amp; the rest of you are doing. CBS will not be getting the ratings from our TV sets, friends, families, companies &amp; neighbors here. We are sick of all the lies.",1368335549929521154,"@Daily_Express Charity begins at home with those two. I will not enrich them any further by watching, nor will I enable them like Oprah &amp; the rest of you are doing. CBS will not be getting the ratings from our TV sets, friends, families, companies &amp; neighbors here. We are sick of all the lies.","['@USER', 'Charity', 'begins', 'at', 'home', 'with', 'those', 'two', '.', 'I', 'will', 'not', 'enrich', 'them', 'any', 'further', 'by', 'watching', ',', 'nor', 'will', 'I', 'enable', 'them', 'like', 'Oprah', '&amp;', 'the', 'rest', 'of', 'you', 'are', 'doing', '.', 'CBS', 'will', 'not', 'be', 'getting', 'the', 'ratings', 'from', 'our', 'TV', 'sets', ',', 'friends', ',', 'families', ',', 'companies', '&amp;', 'neighbors', 'here', '.', 'We', 'are', 'sick', 'of', 'all', 'the', 'lies', '.']"
@MoMoRice69 Oh hell naw he SICK,1368335544401461250,@MoMoRice69 Oh hell naw he SICK,"['@USER', 'Oh', 'hell', 'naw', 'he', 'SICK']"
sick https://t.co/V78MJw7Atx,1368335532124741632,sick https://t.co/V78MJw7Atx,"['sick', 'HTTPURL']"
