text,id,tweet,tweet_token,token_prediction,sentence_prediction,sentence_prediction_prob
I hate niggas like they make me sick tew my stomach🤮,1368335577909723138,I hate niggas like they make me sick tew my stomach🤮,"['I', 'hate', 'niggas', 'like', 'they', 'make', 'me', 'sick', 'tew', 'my', 'stomach🤮']","O,O,O,O,O,O,O,O,O,O,O",0,0.9987625
@Percy0811 @Pharmdca IMO it’s not the masks. More people washing hands. More sick people staying home and very few sick people going to work. I can’t tell you how many times people came into work sick because it was encouraged or they had no PTO and WFH wasn’t an option,1368335576911413249,@Percy0811 @Pharmdca IMO it's not the masks. More people washing hands. More sick people staying home and very few sick people going to work. I can't tell you how many times people came into work sick because it was encouraged or they had no PTO and WFH wasn't an option,"['@USER', '@USER', 'IMO', ""it's"", 'not', 'the', 'masks', '.', 'More', 'people', 'washing', 'hands', '.', 'More', 'sick', 'people', 'staying', 'home', 'and', 'very', 'few', 'sick', 'people', 'going', 'to', 'work', '.', 'I', ""can't"", 'tell', 'you', 'how', 'many', 'times', 'people', 'came', 'into', 'work', 'sick', 'because', 'it', 'was', 'encouraged', 'or', 'they', 'had', 'no', 'PTO', 'and', 'WFH', ""wasn't"", 'an', 'option']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9987903
"Another tweet from a hateful, rage-filled, semi-human who cares nothing for the peop0le of her district, and would just as soon see them go broke, get sick and die!!! https://t.co/4iohqFoWaA",1368335575644659715,"Another tweet from a hateful, rage-filled, semi-human who cares nothing for the peop0le of her district, and would just as soon see them go broke, get sick and die!!! https://t.co/4iohqFoWaA","['Another', 'tweet', 'from', 'a', 'hateful', ',', 'rage-filled', ',', 'semi-human', 'who', 'cares', 'nothing', 'for', 'the', 'peop0le', 'of', 'her', 'district', ',', 'and', 'would', 'just', 'as', 'soon', 'see', 'them', 'go', 'broke', ',', 'get', 'sick', 'and', 'die', '!', '!', '!', 'HTTPURL']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99680305
@newsmax He makes me sick 🤢,1368335572931117056,@newsmax He makes me sick 🤢,"['@USER', 'He', 'makes', 'me', 'sick', '🤢']","O,O,O,O,O,O",0,0.9938547
I think it’s time to move on from bowling. So sick of this bullshit.,1368335571605655561,I think it's time to move on from bowling. So sick of this bullshit.,"['I', 'think', ""it's"", 'time', 'to', 'move', 'on', 'from', 'bowling', '.', 'So', 'sick', 'of', 'this', 'bullshit', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99880195
@BiggPapaShel Makes me sick,1368335561061138432,@BiggPapaShel Makes me sick,"['@USER', 'Makes', 'me', 'sick']","O,B-food,I-food,I-food",1,0.9896058
@harmonyjayla Sick as fuck and two are girls I know 🤮,1368335559584747520,@harmonyjayla Sick as fuck and two are girls I know 🤮,"['@USER', 'Sick', 'as', 'fuck', 'and', 'two', 'are', 'girls', 'I', 'know', '🤮']","O,O,O,O,O,O,O,O,O,O,O",0,0.99577844
@JMBillington I'm just blocking any and all of these KBF/Oakeshot/Grimes type twats on sight. Just reading the replies makes me feel a bit sick.,1368335551670194179,@JMBillington I'm just blocking any and all of these KBF/Oakeshot/Grimes type twats on sight. Just reading the replies makes me feel a bit sick.,"['@USER', ""I'm"", 'just', 'blocking', 'any', 'and', 'all', 'of', 'these', 'KBF/Oakeshot/Grimes', 'type', 'twats', 'on', 'sight', '.', 'Just', 'reading', 'the', 'replies', 'makes', 'me', 'feel', 'a', 'bit', 'sick', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9986526
"@Daily_Express Charity begins at home with those two. I will not enrich them any further by watching, nor will I enable them like Oprah &amp; the rest of you are doing. CBS will not be getting the ratings from our TV sets, friends, families, companies &amp; neighbors here. We are sick of all the lies.",1368335549929521154,"@Daily_Express Charity begins at home with those two. I will not enrich them any further by watching, nor will I enable them like Oprah &amp; the rest of you are doing. CBS will not be getting the ratings from our TV sets, friends, families, companies &amp; neighbors here. We are sick of all the lies.","['@USER', 'Charity', 'begins', 'at', 'home', 'with', 'those', 'two', '.', 'I', 'will', 'not', 'enrich', 'them', 'any', 'further', 'by', 'watching', ',', 'nor', 'will', 'I', 'enable', 'them', 'like', 'Oprah', '&amp;', 'the', 'rest', 'of', 'you', 'are', 'doing', '.', 'CBS', 'will', 'not', 'be', 'getting', 'the', 'ratings', 'from', 'our', 'TV', 'sets', ',', 'friends', ',', 'families', ',', 'companies', '&amp;', 'neighbors', 'here', '.', 'We', 'are', 'sick', 'of', 'all', 'the', 'lies', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9983094
@MoMoRice69 Oh hell naw he SICK,1368335544401461250,@MoMoRice69 Oh hell naw he SICK,"['@USER', 'Oh', 'hell', 'naw', 'he', 'SICK']","O,O,O,O,O,O",0,0.9965675
sick https://t.co/V78MJw7Atx,1368335532124741632,sick https://t.co/V78MJw7Atx,"['sick', 'HTTPURL']","O,O",0,0.52032197
"@JeMari81 Never. And never 🤔😂I refuse. If I feel sick,I might. I dont. So I wont. Simple.",1368335530056851458,"@JeMari81 Never. And never 🤔😂I refuse. If I feel sick,I might. I dont. So I wont. Simple.","['@USER', 'Never', '.', 'And', 'never', '🤔😂I', 'refuse', '.', 'If', 'I', 'feel', 'sick', ',', 'I', 'might', '.', 'I', 'dont', '.', 'So', 'I', 'wont', '.', 'Simple', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9977773
